code,name,category,description,status,condition
E442,Аммонийные соли фосфатидиловой кислоты,Стабилизаторы,"Аммонийные соли фосфатидиловой кислоты (Ammoniun salts of phosphatidic acid)",halal,
E444,Сахарозы ацетат изобутират,Стабилизаторы,"Сахарозы ацетат изобутират (Sucrose acetate, isobutirat)",halal,
E445,Эфиры глицерина и смоляных кислот,Стабилизаторы,"Эфиры глицерина и смоляных кислот (Glycerol esters of wood resin)",halal,
E446,Сукцистеарин,Стабилизаторы,"Сукцистеарин (Succistearin)",halal,
E450,Пирофосфаты,Стабилизаторы,"Пирофосфаты (Diphosphates), Дигидропирофосфат натрия (Disodium diphosphate), Моногидропирофосфат натрия (Trisodium diphosphate), Пирофосфат натрия (Tetrasodium diphosphate), Дигидропирофосфат калия (Dipotassium diphosphate), Пирофосфат калия (Tetrapotassium diphosphate), Пирофосфат кальция (Dicalcium diphosphate), Дигидропирофосфат кальция (Calcium dihydrogen diphosphate), Пирофосфат магния (Dimagnesium diphosphate)",halal,
E451,Трифосфаты,Стабилизаторы,"Трифосфаты (Triphosphates), Трифосфат натрия (5-замещенный) (Pentasodium triphosphate), Трифосфат калия (5-замещенный) (Pentapotassium triphosphate)",halal,
E452,Полифосфаты,Стабилизаторы,"Полифосфаты (Polyphosphates), Полифосфат натрия (Sodium polyphosphate), Полифосфат калия (Potassium polyphosphate), Полифосфат натрия-кальция (Sodium calcium polyphosphate), Полифосфаты кальция (Calcium polyphosphates), Полифосфаты аммония (Ammonium polyphosphates)",halal,
E459,бета-Циклодекстрин,Стабилизаторы,"бета-Циклодекстрин (Beta-cyclodextrin)",halal,
E460,Целлюлоза,Стабилизаторы,"Целлюлоза (Cellulose), Целлюлоза (Microcrystalline cellulose), Целлюлоза в порошке (Powdered cellulose)",halal,
E461,Метилцеллюлоза,Стабилизаторы,"Метилцеллюлоза (Methyl cellulose)",halal,
E462,Этилцеллюлоза,Стабилизаторы,"Этилцеллюлоза (Ethyl cellulose)",halal,
E463,Гидроксипропилцеллюлоза,Стабилизаторы,"Гидроксипропилцеллюлоза (Hydroxypropyl cellulose)",halal,
E464,Гидроксипропилметилцеллюлоза,Стабилизаторы,"Гидроксипропилметилцеллюлоза (Hydroxypropyl methyl cellulose)",halal,
E465,Метилэтилцеллюлоза,Стабилизаторы,"Метилэтилцеллюлоза (Methyl ethyl cellulose)",halal,
E466,Карбоксиметилцеллюлоза натриевая соль,Стабилизаторы,"Карбоксиметилцеллюлоза натриевая соль (Sodium carboxymethyl cellulose)",halal,
E467,Этилгидроксиэтилцеллюлоза,Стабилизаторы,"Этилгидроксиэтилцеллюлоза (Ethylhydroxyethyl cellulose)",halal,
E468,Кроскарамеллоза,Стабилизаторы,"Кроскарамеллоза (Croscaramellose)",halal,
