Code;Name;Category;Description;Status
E419;;Стабилизаторы;Гхатти камедь (Gum ghatti). Загуститель, стабилизатор, желирующий агент. Халяль.;Халяль
E420;;Стабилизаторы;Сорбит и сорбитовый сироп (Sorbitol and sorbitol syrup). Подсластитель, влагоудерживающий агент, комплексообразоваттель, текстуратор, эмульгатор. Халяль.;Халяль
E421;;Стабилизаторы;Маннит (Manmtol). Подсластитель, добавка, препятствующщая слеживанию и комкованию. Халяль.;Халяль
E422;;Стабилизаторы;Глицерин (Glycerol). Влагоудерживающий агент, загуститтель. Сомнительное. Может быть произведен из животного сыррья.;Сомнительное
E425;;Стабилизаторы;Конжак (Конжаковая мука (Konjac, Konjac flour), Конжаковвая камедь (Konjac gum), Конжаковый глюкоманнан (Konjac gluco- omannane). Загуститель. Халяль.;Халяль
E430;;Стабилизаторы;Полиоксиэтилен (8) стеарат (Polyoxyethylene (8) stearate). Эмульгатор. Халяль.;Халяль
E431;;Стабилизаторы;Полиоксиэтилен (40) стеарат Polyoxyethylene (40) stearat- te). Эмульгатор. Халяль.;Халяль
E432;;Стабилизаторы;Полиоксиэтилен (20) сорбитан монолаурат, Твин 20 (Polyo- oxyethylene (20) sorbitan monolaurate). Эмульгатор. Халяль.;Халяль
E433;;Стабилизаторы;Полиоксиэтилен (20) сорбитан моноолеат, Твин 80 (Polyox- xyethylene (20) sorbitan monooleate. Эмульгатор. Халяль.;Халяль
E434;;Стабилизаторы;Полиоксиэтилен (20) сорбитан монопальмитат, Твин 40 (Polyoxyethylene (20) sorbitan monopalmitate). Эмульгатор. Халляль.;Не определено
E435;;Стабилизаторы;Полиоксиэтилен (20) сорбитан моностеарат, Твин 60 (Poly- yoxyethylene (20) sorbitan monostearate). Эмульгатор. Халяль.;Халяль
E436;;Стабилизаторы;Полиоксиэтилен (20) сорбитан три-стеарат (Polyoxyethyle- ene (20) sorbitan trjstearate). Эмульгатор. Халяль.;Халяль
E440;;Стабилизаторы;Пектины (Pectins). Загуститель, стабилизатор, желирующщий агент. Халяль.;Халяль
E441;;Стабилизаторы;Желатин (Gelatin). Загуститель, стабилизатор, желирующщий агент. Харам. Производится из животного сырья.;Харам
E442;;Стабилизаторы;Аммонийные соли фосфатидиловой кислоты (Ammoniun salts of phosphatidic acid). Эмульгатор. Халяль.;Халяль
E444;;Стабилизаторы;Сахарозы ацетат изобутират (Sucrose acetate, isobutirat). Эмульгатор, стабилизатор. Халяль.;Халяль
E445;;Стабилизаторы;Эфиры глицерина и смоляных кислот (Glycerol esters of wood resin). Эмульгатор, стабилизатор. Халяль.;Халяль
E446;;Стабилизаторы;Сукцистеарин (Succistearin). Эмульгатор. Халяль.;Халяль
E450;;Стабилизаторы;Пирофосфаты (Diphosphates), Дигидропирофосфат наттрия (Disodium diphosphate), Моногидропирофосфат натрия (Trisodium diphosphate), Пирофосфат натрия (Tetrasodium dipho- osphate), Дигидропирофосфат калия (Dipotassium diphosphate), Пирофосфат калия (Tetrapotassium diphosphate), Пирофосфат кальция (Dicalcium diphosphate), Дигидропирофосфат кальция (Calcium dihydrogen diphosphate), Пирофосфат магния (Dimagn- nesium diphosphate). Эмульгатор, стабилизатор, регулятор кисллотности, разрыхлитель, комплексообразователь, влагоудерживвающий агент. Халяль.;Халяль
E451;;Стабилизаторы;Трифосфаты (Triphosphates), Трифосфат натрия (5-замещщенный) (Pentasodium triphosphate), Трифосфат калия (5-замещщенный) (Pentapotassium triphosphate). Комплексообразователь, регулятор кислотности, текстуратор. Халяль.;Халяль
E452;;Стабилизаторы;Полифосфаты (Polyphosphates), Полифосфат натрия (Sodium рolyphosphate), Полифосфат калия (Potassium polypho- osphate), Полифосфат натрия-кальция (Sodium calcium polypho- osphate), Полифосфаты кальция (Calcium polyphosphates), Поллифосфаты аммония (Ammonium polyphosphates). Эмульгатор, стабилизатор, комплексообразователь, текстуратор, влагоудержживающий агент. Эмульгатор, стабилизатор, комплексообразовватель, текстуратор, влагоудерживающий агент. Халяль.;Халяль
E459;;Стабилизаторы;бета-Циклодекстрин (Beta-cyclodextrin). Стабилизатор, связующее вещество. Халяль.;Халяль
E460;;Стабилизаторы;Целлюлоза (Cellulose), Целлюлоза (Microcrystalline cellu- ulose), Целлюлоза в порошке (Powdered cellulose). Эмульгатор, микрокристаллическая добавка, препятствующая слеживанию и комкованию. Халяль.;Халяль
